"","HHID","PN","NSUBHH","MSUBHH","NPN_SP","NCSR","NFAMR","NFINR","NP155","NP156","NP002","NP166","NP170","NP168","NP005","NP006","NP059","NP007","NP009","NP014","NP015","NP016","NP017","NP123","NP018","NP181","NP182","NP020","NP028","NP102","NP029","NP157","NP107","NP175","NP176","NP177","NP178","NP032","NP110","NP179","NP111","NP112","NP183","NP047","NP113","NP149","NP150","NP180","NP097","NP041","NP042","NP043","NP044","NP185","NP056","NVDATE","NVERSION","year"
"390","074297","040","0","0","010",1,1,5,14,0,1,NA,NA,NA,90,90,50,NA,1,NA,NA,NA,80,NA,80,50,50,NA,80,NA,75,NA,NA,25,NA,25,25,NA,95,NA,NA,95,95,50,1,2,50,50,3,5,3,NA,NA,2,1,4,2,"12"
"391","074477","010","0","0","040",1,5,1,17,0,1,80,2,40,80,30,10,NA,1,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,80,50,NA,20,5,10,80,NA,90,NA,70,80,NA,2,60,30,1,NA,2,NA,1,1,1,3,2,"12"
"392","074477","040","0","0","010",5,1,5,16,0,1,NA,NA,NA,100,20,1,NA,1,0,50,NA,80,NA,10,2,0,NA,50,1,20,NA,NA,10,NA,5,2,NA,40,NA,NA,40,20,10,NA,2,5,5,2,4,3,NA,NA,2,1,3,2,"12"
"393","075409","010","0","0",NA,1,1,1,14,1,1,50,2,10,0,NA,NA,10,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,5,NA,1,0,0,50,1,10,NA,50,999,NA,1,NA,NA,3,NA,1,1,NA,3,1,1,2,"12"
"394","075513","010","0","0",NA,1,1,1,13,0,1,NA,NA,NA,60,10,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,50,0,10,NA,NA,60,50,2,10,NA,50,60,NA,2,40,10,2,NA,1,5,NA,3,1,4,2,"12"
"395","076218","040","0","0",NA,1,1,1,14,1,1,50,2,0,100,100,0,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,0,50,NA,0,NA,50,100,NA,0,NA,100,0,NA,2,NA,100,1,NA,1,5,NA,1,3,3,2,"12"
"396","076404","010","0","0","040",5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12"
"397","076404","040","0","0","010",1,1,1,15,0,1,0,1,0,0,NA,NA,0,1,0,0,NA,NA,NA,0,0,NA,NA,50,1,100,NA,NA,0,100,NA,NA,NA,100,NA,NA,0,100,50,1,2,50,0,2,3,2,NA,1,3,1,3,2,"12"
"398","076616","010","0","0","040",1,5,1,16,0,1,50,1,0,100,50,20,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,50,100,NA,100,40,20,30,NA,0,NA,40,70,NA,2,20,20,2,NA,3,NA,NA,3,1,4,2,"12"
"399","076616","040","0","0","010",5,1,5,14,0,1,NA,NA,NA,100,100,100,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,80,80,NA,20,20,0,50,1,20,NA,25,75,NA,2,10,10,2,NA,3,NA,NA,3,1,4,2,"12"
"400","077000","010","0","0",NA,1,1,1,13,0,1,NA,NA,NA,95,95,95,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,5,95,NA,50,5,0,10,NA,5,NA,5,10,NA,2,10,10,3,NA,1,1,NA,1,1,1,2,"12"
"401","077047","020","0","0","021",5,1,1,15,0,1,10,2,0,0,NA,NA,0,1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,50,100,NA,100,50,20,100,NA,10,NA,50,50,1,2,20,100,2,NA,2,NA,1,2,1,4,2,"12"
"402","077047","021","0","0","020",1,5,5,11,2,1,NA,NA,NA,100,100,999,NA,1,NA,NA,NA,NA,NA,50,25,0,NA,100,NA,100,NA,NA,0,100,NA,NA,NA,100,NA,NA,100,100,998,NA,1,NA,NA,2,1,8,NA,NA,2,1,4,2,"12"
